,Stationsnummer,X-Koordinate,Y-Koordinate,Breitengrad,Längengrad,
01TS0268,01TS0268,515727.86,5440068.94,9.215519488,49.11326086,
01TS0269,01TS0269,515336.64,5441450.93,9.210211154,49.12570225,
01TS0027,01TS0027,516020.27,5445712.16,9.219750669,49.16401595,
01TS0270,01TS0270,515851.89,5443462.87,9.217352472,49.14378726,
01TS0271,01TS0271,516075.81,5441790.6,9.220356026,49.12873881,
01TS0272,01TS0272,513672.09,5441588.35,9.187400848,49.12697768,
01TS0273,01TS0273,516467.96,5442258.76,9.225750423,49.13293969,
01TS0275,01TS0275,515473.74,5443941.96,9.212185924,49.14810648,
01TS0276,01TS0276,514472.21,5445041.4,9.198491896,49.15802072,
01TS0277,01TS0277,515956.05,5443380.85,9.218777398,49.14304677,
01TS0278,01TS0278,515103.78,5441315.64,9.207014422,49.12449104,
01TS0279,01TS0279,514754.2,5441275.27,9.202221587,49.12413639,
01TS0028,01TS0028,516060.29,5445599.05,9.220295108,49.16299745,
01TS0280,01TS0280,514865.63,5441310.55,9.203750141,49.12445106,
01TS0281,01TS0281,514985.33,5441031.56,9.205380389,49.12193853,
01TS0282,01TS0282,515290.97,5440974.2,9.209567113,49.12141503,
01TS0283,01TS0283,515370.76,5441097.58,9.210665351,49.12252289,
01TS0284,01TS0284,515457.57,5440822.62,9.21184459,49.12004735,
01TS0285,01TS0285,515390.33,5440718.11,9.210919092,49.11910893,
01TS0288,01TS0288,514703.96,5446206.14,9.201712965,49.1684924,
01TS0289,01TS0289,516559.81,5442777.21,9.227030832,49.13760085,
01TS0029,01TS0029,516039.32,5445958.19,9.220021782,49.16622857,
01TS0290,01TS0290,516380.44,5443151.56,9.224586949,49.14097306,
01TS0292,01TS0292,513308.18,5447945.54,9.182622932,49.18417067,
01TS0294,01TS0294,514274.44,5443662.46,9.195730549,49.14562133,
01TS0295,01TS0295,514291.34,5443708.14,9.1959639,49.14603184,
01TS0296,01TS0296,514361.26,5443723.85,9.196923202,49.14617153,
01TS0297,01TS0297,514350.27,5444031.47,9.196783465,49.14893893,
01TS0298,01TS0298,514312.1,5444026.9,9.196259885,49.14889871,
01TS0299,01TS0299,514359.77,5444087.2,9.196915723,49.14944002,
01TS0030,01TS0030,515999.31,5446363.3,9.21948905,49.16987369,
01TS0300,01TS0300,514323.81,5444174.24,9.196425701,49.15022381,
01TS0302,01TS0302,514333.36,5444262.95,9.196559819,49.15102157,
01TS0303,01TS0303,514499.7,5444256.37,9.198840663,49.15095847,
01TS0304,01TS0304,514967.02,5442009.02,9.205165717,49.13073158,
01TS0306,01TS0306,516281.39,5444731.87,9.223292789,49.15519108,
01TS0308,01TS0308,514569.26,5444620.7,9.199807743,49.15423409,
01TS0309,01TS0309,514941.97,5446142.14,9.204975653,49.16791095,
01TS0312,01TS0312,511008.74,5440612.56,9.150868315,49.11825355,
01TS0313,01TS0313,512172.13,5441798.16,9.166847599,49.12889654,
01TS0315,01TS0315,515199.9,5442748.21,9.20838585,49.13737514,
01TS0317,01TS0317,515294.94,5442863,9.209693165,49.13840535,
01TS0318,01TS0318,516738.42,5443662.46,9.22951628,49.14555912,
01TS0032,01TS0032,515929.2,5446709.15,9.218540936,49.17298654,
01TS0320,01TS0320,513902.26,5440466.35,9.190517063,49.11687971,
01TS0321,01TS0321,516089.6,5443891.23,9.220628904,49.14763432,
01TS0324,01TS0324,516366.96,5444101.84,9.224440734,49.14952149,
01TS0325,01TS0325,512981.96,5447861.48,9.178143652,49.18342152,
01TS0326,01TS0326,513203.85,5443465.55,9.181044288,49.14387401,
01TS0327,01TS0327,516603.13,5444382.59,9.227690888,49.15204058,
01TS0328,01TS0328,514954.98,5441259.41,9.204972879,49.12398887,
