ONS,PV-Leistung an ONS,Installierte Trafoleistung,Übrige Trafokapazität,"Übrige Trafokapazität bei Gleichzeitigkeitsfaktor 0,7",Umspannwerk,X-Koordinate,Y-Koordinate,Breitengrad,Längengrad
01TS0495,149.114,1000.0,850.886,895.6202,UW_BHOXX,513374.32,5447811.47,9.183526080347018,49.18296323654922
07TS0001,270.695,630.0,359.305,440.5135,UW_UGRBH,515618.24,5438801.35,9.213968336269781,49.10186119323172
01TS0440,217.16999999999996,400.0,182.83000000000004,247.98100000000005,UW_SONHN,514722.85,5441555.64,9.20180213995389,49.126659167201716
01TS0312,99.99499999999998,315.0,215.00500000000002,245.00350000000003,UW_BOEKI,511008.74,5440612.56,9.150868314673883,49.118253548030054
02TS0063,754.9050000000003,400.0,-354.9050000000003,-128.4335000000002,UW_LAUFN,510054.95,5434636.8,9.137648534029948,49.064515254445325
05TS5026,20.03,,,,,,,,
01TS0641,201.76,400.0,198.24,258.76800000000003,UW_BHOXX,510010.19,5448975.5,9.13739171988481,49.19349816242
02TS0009,643.287,715.0,71.71299999999997,264.6991,UW_LAUFN,510771.71,5435365.39,9.147480075455103,49.07105715271801
01TS0320,173.962,315.0,141.038,193.22660000000002,UW_SONHN,513902.26,5440466.35,9.190517063206501,49.116879705312215
03TS0006,53.470000000000006,400.0,346.53,362.571,UW_LASTD,513875.2,5432348.81,9.189867680363337,49.04385946366806
01TS0153,205.45749999999998,315.0,109.54250000000002,171.17975,UW_ROMER,513500.18,5443712.27,9.185115655375641,49.14608689708863
01TS0180,380.07750000000016,800.0,419.92249999999984,533.9457499999999,UW_ROMER,513597.64,5444120.21,9.186465797867426,49.1497543047591
08TS0037,349.33399999999995,315.0,-34.333999999999946,70.46620000000004,UW_GROGH,514152.85,5436102.99,9.193798269431127,49.07762376371262
01TS0842,164.335,1600.0,1435.665,1484.9655,UW_BADHN,515318.55,5443840.06,9.210053998453018,49.14719374533366
06TS0048,23.73,,,,UW_UGRBH,520524.7,5438193.1,9.281154697081773,49.09624561559596
01TS0838,96.30999999999999,630.0,533.69,562.583,UW_KETER,516794.69,5443315.16,9.230273368608959,49.14243350783406
01TS0832,299.69999999999993,630.0,330.30000000000007,420.21000000000004,UW_BHOXX,,,,
02TS0089,999.92,,,,UW_LAUFN,,,,
04TS0033,133.79499999999996,630.0,496.20500000000004,536.3435000000001,UW_LAUFN,510723.06,5431462.28,9.146710635213772,49.03594756347674
01TS0178,76.75500000000001,630.0,553.245,576.2715,UW_KETER,,,,
05TS0009,334.2499999999999,400.0,65.75000000000011,166.0250000000001,UW_GROGH,509694.19,5443197.77,9.13291538356209,49.141530652990085
06TS0036,200.23999999999998,1030.0,829.76,889.832,UW_UGRBH,523395.14,5437402.63,9.320428641237276,49.08903261550411
06TS0002,276.47999999999996,630.0,353.52000000000004,436.46400000000006,UW_UGRBH,523192.94,5436950.93,9.317633360306036,49.08497707374932
01TS0636,164.26000000000002,400.0,235.73999999999998,285.01800000000003,UW_BHOXX,509952.6,5449273.35,9.136608666643712,49.19617834584657
05TS0045,392.7070000000001,400.0,7.292999999999893,125.10509999999994,UW_GROGH,507815.61,5443409.78,9.107162658963658,49.143464539382364
01TS0584,356.2779999999999,400.0,43.722000000000094,150.6054000000001,UW_BHOXX,511058.3,5449753.16,9.151798579661774,49.20047542079533
05TS0024,157.13000000000002,630.0,472.87,520.009,UW_GROGH,508048.44,5443561.29,9.11035809571509,49.144824421570654
08TS0022,98.365,400.0,301.635,331.1445,UW_UGRBH,514579.05,5437352.45,9.199679345962693,49.088853249561616
01TS0378,48.61,400.0,351.39,365.973,UW_SONHN,514286.32,5441066.73,9.195801461777444,49.12227154436822
06TS0005,306.63500000000005,400.0,93.36499999999995,185.35549999999998,UW_UGRBH,523706.84,5438205.49,9.324744833674421,49.09624267421775
01TS0561,99.94519999999999,315.0,215.0548,245.03836,UW_SONHN,515198.7,5440920.09,9.208300496650748,49.1209305799286
05TS0021,202.01,250.0,47.99000000000001,108.59300000000002,UW_GROGH,508215.05,5444096.67,9.11265352121602,49.14963815595477
01TS0309,52.455799999999996,400.0,347.5442,363.28094,UW_BHOXX,514941.97,5446142.14,9.20497565342194,49.167910951597825
01TS0288,84.5558,400.0,315.4442,340.81094,UW_BHOXX,514703.96,5446206.14,9.20171296509265,49.16849239975548
